iter	Passed	Remaining
0	263	184045
1	264	92248
2	441	102614
3	621	108112
4	793	110297
5	969	112122
6	996	98646
7	1154	99901
8	1164	89415
9	1194	82453
10	1345	84279
11	1381	79182
12	1530	80869
13	1709	83775
14	1722	78676
15	1748	74730
16	1751	70378
17	1901	72054
18	1907	68362
19	1908	64873
20	2075	67096
21	2092	64475
22	2115	62266
23	2116	59609
24	2118	57209
25	2270	58860
26	2454	61177
27	2467	59211
28	2551	59038
29	2718	60704
30	2894	62458
31	2919	60953
32	3075	62169
33	3088	60491
34	3103	58972
35	3257	60089
36	3431	61495
37	3432	59802
38	3468	58794
39	3469	57250
40	3482	55978
41	3633	56920
42	3811	58229
43	3812	56835
44	3988	58060
45	4160	59155
46	4334	60217
47	4359	59221
48	4361	57941
49	4515	58696
50	4689	59674
51	4779	59562
52	4782	58378
53	4863	58178
54	5031	59001
55	5201	59815
56	5372	60605
57	5545	61382
58	5637	61251
59	5654	60312
60	5811	60878
61	5823	59926
62	5987	60544
63	6157	61193
64	6164	60222
65	6328	60789
66	6336	59861
67	6337	58903
68	6386	58400
69	6548	58936
70	6720	59533
71	6895	60142
72	6987	60019
73	6988	59121
74	7151	59599
75	7324	60141
76	7499	60678
77	7535	60088
78	7684	60409
79	7697	59655
80	7860	60072
81	7914	59649
82	7921	58884
83	7924	58111
84	8079	58457
85	8249	58900
86	8257	58183
87	8264	57474
88	8426	57848
89	8601	58296
90	8773	58715
91	8866	58593
92	8949	58415
93	9116	58769
94	9117	58066
95	9288	58438
96	9461	58819
97	9634	59183
98	9806	59529
99	9978	59871
100	10154	60224
101	10155	59539
102	10330	59874
103	10331	59207
104	10356	58688
105	10357	58041
106	10430	57806
107	10457	57322
108	10608	57520
109	10610	56913
110	10611	56307
111	10703	56191
112	10703	55602
113	10788	55458
114	10789	54886
115	10873	54740
116	10957	54601
117	10958	54047
118	10960	53512
119	10960	52976
120	11122	53223
121	11131	52737
122	11295	52987
123	11467	53268
124	11488	52847
125	11647	53059
126	11682	52709
127	11684	52212
128	11754	52030
129	11756	51547
130	11773	51138
131	11789	50728
132	11940	50903
133	12032	50823
134	12033	50360
135	12198	50586
136	12374	50852
137	12547	51098
138	12560	50694
139	12561	50247
140	12563	49810
141	12588	49468
142	12740	49623
143	12752	49239
144	12918	49447
145	13094	49687
146	13268	49914
147	13269	49490
148	13363	49418
149	13532	49618
150	13545	49246
151	13709	49427
152	13888	49652
153	13943	49434
154	13949	49049
155	13987	48778
156	13990	48386
157	14001	48031
158	14007	47662
159	14164	47804
160	14176	47460
161	14341	47627
162	14514	47817
163	14520	47455
164	14527	47105
165	14692	47264
166	14705	46934
167	14722	46622
168	14726	46271
169	14742	45961
170	14753	45641
171	14906	45759
172	14907	45411
173	14963	45233
174	15122	45368
175	15134	45059
176	15137	44728
177	15183	44526
178	15263	44425
179	15426	44565
180	15452	44307
181	15525	44188
182	15693	44335
183	15866	44496
184	15875	44193
185	16041	44329
186	16053	44038
187	16054	43722
188	16099	43528
189	16262	43652
190	16433	43795
191	16470	43576
192	16621	43663
193	16678	43500
194	16839	43610
195	16840	43304
196	17012	43439
197	17024	43164
198	17040	42901
199	17042	42607
200	17058	42348
201	17126	42221
202	17151	41992
203	17158	41719
204	17164	41446
205	17323	41542
206	17327	41268
207	17348	41036
208	17352	40764
209	17353	40490
210	17429	40392
211	17593	40498
212	17604	40249
213	17765	40347
214	17776	40099
215	17776	39833
216	17939	39930
217	18109	40039
218	18278	40146
219	18372	40086
220	18534	40171
221	18700	40265
222	18791	40196
223	18957	40284
224	19125	40375
225	19296	40472
226	19468	40566
227	19501	40372
228	19506	40120
229	19513	39874
230	19665	39926
231	19698	39736
232	19716	39518
233	19723	39278
234	19875	39328
235	19880	39086
236	19884	38845
237	19890	38610
238	19890	38366
239	19935	38208
240	20097	38277
241	20188	38207
242	20352	38276
243	20522	38353
244	20614	38284
245	20615	38046
246	20780	38111
247	20953	38188
248	20987	38012
249	20989	37780
250	20990	37548
251	20996	37327
252	21000	37102
253	21152	37142
254	21160	36927
255	21161	36701
256	21326	36761
257	21351	36579
258	21507	36620
259	21559	36485
260	21720	36534
261	21722	36314
262	21731	36108
263	21732	35891
264	21736	35681
265	21900	35731
266	21901	35517
267	22074	35582
268	22251	35651
269	22424	35713
270	22438	35520
271	22601	35564
272	22777	35626
273	22950	35682
274	22975	35507
275	22976	35297
276	22977	35089
277	22983	34889
278	22984	34683
279	23143	34715
280	23240	34653
281	23408	34698
282	23421	34512
283	23586	34548
284	23764	34605
285	23820	34480
286	23833	34296
287	23848	34116
288	23852	33921
289	24002	33934
290	24010	33746
291	24010	33549
292	24033	33385
293	24035	33191
294	24050	33018
295	24197	33025
296	24208	32848
297	24209	32658
298	24370	32684
299	24547	32729
300	24600	32610
301	24762	32634
302	24939	32675
303	25112	32712
304	25285	32746
305	25460	32782
306	25485	32624
307	25485	32436
308	25491	32256
309	25644	32262
310	25737	32192
311	25904	32214
312	25906	32031
313	25958	31911
314	26121	31926
315	26122	31744
316	26214	31672
317	26215	31491
318	26231	31329
319	26234	31153
320	26386	31154
321	26558	31177
322	26591	31036
323	26743	31035
324	26745	30859
325	26919	30882
326	26920	30707
327	27091	30725
328	27266	30747
329	27438	30763
330	27611	30780
331	27611	30605
332	27784	30621
333	27958	30637
334	27965	30470
335	28132	30476
336	28148	30319
337	28160	30160
338	28176	30004
339	28326	29993
340	28501	30006
341	28670	30011
342	28670	29840
343	28840	29846
344	28843	29679
345	28851	29518
346	29012	29513
347	29037	29371
348	29052	29219
349	29053	29053
350	29053	28888
351	29055	28725
352	29058	28564
353	29059	28402
354	29059	28241
355	29090	28109
356	29094	27953
357	29246	27939
358	29255	27789
359	29420	27786
360	29590	27786
361	29591	27630
362	29760	27628
363	29934	27632
364	29969	27505
365	29969	27349
366	30117	27327
367	30289	27325
368	30341	27216
369	30422	27133
370	30587	27124
371	30622	27000
372	30622	26846
373	30772	26822
374	30789	26684
375	30871	26601
376	30873	26451
377	31032	26434
